index;VFA_geq;TAN_geq;IC_geq;FOS_geq;TAC_geq;FOS_TAC;total_alcalinity;VFA_mmol;TAN_mmol;IC_mmol;pH_initial;conductivity_initial;0_1;0_2;0_3;0_4;0_5;101_0;101_1;101_2;101_3;101_4;101_5;102_0;102_1;102_2;102_3;102_4;102_5;103_0;103_1;103_2;103_3;103_4;103_5;201_pKa_acetatic/acetate;201_pKa_H2CO3/HCO3;201_pKa_HCO3/CO32;201_pKa_fb_vfa_1;201_pKa_fb_vfa_2;201_pKa_fb_nh4_1;201_pKa_fb_nh4_2;202_pKa_acetatic/acetate;202_pKa_NH4/NH3;202_pKa_unknown_pH6;202_pKa_fb_vfa_1;202_pKa_fb_vfa_2;203_pKa_acetatic/acetate;203_pKa_NH4/NH3;203_pKa_unknown_pH6;203_pKa_fb_vfa_1;203_pKa_fb_vfa_2;203_pKa_fb_nh4_1;203_pKa_fb_nh4_2;204_pKa_acetatic/acetate;204_pKa_NH4/NH3;204_pKa_unknown_pH6;204_pKa_fb_vfa_1;204_pKa_fb_vfa_2;204_pKa_fb_nh4_1;204_pKa_fb_nh4_2;301_time;301_acetatic/acetate;301_H2CO3/HCO3;301_HCO3/CO32;301_fb_vfa_1;301_fb_vfa_2;301_fb_nh4_1;301_fb_nh4_2;302_time;302_acetatic/acetate;302_NH4/NH3;303_time;303_acetatic/acetate;303_NH4/NH3;303_unknown_pH6;303_fb_vfa_1;303_fb_vfa_2;303_fb_nh4_1;303_fb_nh4_2;303_lambda_unknown_pH6;304_if_fb;503_RMSE_VFA_pka_th;503_RMSE_pH6_pka_th;503_RMSE_VFA_pH6_pka_th;503_RMSE_TAN_pka_th;503_RMSE_global_pka_th;503_diff_VFA_pka_th;503_diff_pH6_pka_th;503_diff_VFA_pH6_pka_th;503_diff_TAN_pka_th;503_diff_global_pka_th;503_RMSE_VFA_pka_exp;503_RMSE_pH6_pka_exp;503_RMSE_VFA_pH6_pka_exp;503_RMSE_TAN_pka_exp;503_RMSE_global_pka_exp;503_diff_VFA_pka_exp;503_diff_pH6_pka_exp;503_diff_VFA_pH6_pka_exp;503_diff_TAN_pka_exp;503_diff_global_pka_exp;504_distance_pka_VFA;504_distance_pka_TAN;505_VFA_CI;505_TAN_CI
INRA_V1A_20191210_2;0.4804;3.6435;23.5279;7.07;25.8866;0.2731;27.6841;8.0079;260.2507;470.5592;8.3131;2.9446;2019-12-10_02_SNAC061901_src.csv;SNAC061901;04/12/19;2.01;1.34;True;;;;;Noise:20.0. Treshold: 300. s: [0.0099];True;;;;;Noise:25.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0041. Treshold: 100. s: 0.05;;6.23;;9.66;;;;;9.66;6.23;;;;9.63;6.35;7.08;;5.33;;4.81;9.64;6.29;;;;;0 days 00:03:06.978955;0;0.2341;;;;;;;;;0 days 00:07:35.706771;0.00295;0.09607;0.02138;;;;;3.54938;yes_run;0.00414;0.00311;0.00263;0.00443;0.00397;0.00091;0.00113;0.00102;-0.00023;0.00107;0.00414;0.00286;0.00261;0.00416;0.00397;0.0009;0.00085;0.00104;0.00036;0.00107;153;219;;13687
INRA_V1A_20191210_4;1.2855;2.2772;17.8236;10.5672;20.5079;0.5152;23.1945;21.4259;162.6608;356473;8.1967;2;2019-12-10_04_SNAC061901_src.csv;SNAC061901;04/12/19;2.01;1.29;True;;;;;Noise:30.0. Treshold: 300. s: [0.0099];True;;;;;Noise:64.0936. Treshold: 100. s: [0.0325];False;;too many pics in important section(s) of the signal;Shift in pH 3.87-3.89. Derivative value 0.17 higher than 0.1;;Noise:0.0026. Treshold: 100. s: 0.05;;6.25;;9.63;3.94;;;;9.63;6.25;3.94;;4.82;9.39;6.07;5.6;;;;4.8;9.63;6.25;3.94;;;;0 days 00:03:12.085723;0.01932;0.17734;;;;;;;;;0 days 00:33:45.342124;0.0082;0.06231;0.00789;0.0057;;;;6.97312;yes_run;0.00206;0.00182;0.00189;0.00221;0.00196;0.00018;0.00057;0.00089;-0.0001;0.00023;0.00206;0.00202;0.0019;0.00212;0.00196;0.00018;0.00067;0.00095;0.00002;0.00023;1149;159;;9937
INRA_V1A_20191223_1;0.5149;2845;9564;4.53;11.2188;0.4037;12.3706;8.5826;203.2165;191.2803;7.8713;2.1807;2019-12-23_01_SNAC061901_src.csv;SNAC061901;12/12/19;2;1.16;True;;;;;Noise:16.4604. Treshold: 300. s: [0.015];True;;;;;Noise:51.0509. Treshold: 100. s: [0.0283];True;;;;;Noise:0.0045. Treshold: 100. s: 0.05;;6.28;;9.88;4.31;;;;9.88;6.28;4.31;;;9.68;;3.54;6.36;;;4.81;9.78;6.28;;;;;0 days 00:01:41.508322;0.00871;0.09564;;;;;;;;;0 days 00:04:23.244897;0.00368;0.08725;0.00003;;;;;1.5058;yes_run;0.0042;0.00035;0.00038;0.0044;0.00382;-0.00049;0.00021;0.00001;0.00056;-0.00032;0.00421;0.00035;0.00043;0.00441;0.00382;-0.00049;0.00026;-0.00009;0.00038;-0.00032;156;261;;16312
INRA_V1A_20191223_2;2101;4.2659;14.9603;7.2826;17.0211;0.4278;18.8726;35.0173;304.7136;299.2076;7.9236;2.3341;2019-12-23_02_SNAC061901_src.csv;SNAC061901;12/12/19;2.02;1.23;True;;;;;Noise:31.0618. Treshold: 300. s: [0.0704];True;;;;;Noise:27.3456. Treshold: 100. s: [0.0167];True;;;;;Noise:0.0043. Treshold: 100. s: 0.05;;6.46;;9.75;4.49;;;4.49;9.75;6.46;;;;9.65;5.79;3.93;6.41;;;4.49;9.7;6.12;;;;;0 days 00:02:06.317256;0.0278;0.14812;;;;;;;;;0 days 00:05:11.513936;0.01402;0.12202;0;;;;;1.00003;yes_run;0.00535;0.00068;0.00112;0.00588;0.00488;-0.00121;-0.0006;-0.00031;-0.00005;-0.00104;0.00535;0.00055;0.00094;0.0055;0.00488;-0.00121;-0.00048;-0.00069;0.0001;-0.00104;154;174;;10875
Suez_MBE_20200130_1;2.4906;3.5973;7.9323;6.7794;10.5268;644;12.2504;41.5103;256.9551;158.6471;8.2425;0.9991;2020-01-30_01_SNAC111903_src.csv;SNAC111903;21/01/20;1.85;1.17;True;;;;;Noise:85.836. Treshold: 300. s: [0.0266];True;;;;;Noise:33.1882. Treshold: 100. s: [0.0142];False;;too many pics in important section(s) of the signal;Shift in pH 3.0-3.3. Derivative value 0.153 higher than 0.05;;Noise:0.0102. Treshold: 100. s: 0.2;4.52;6.43;;9.65;9.45;;;4.52;9.45;6.43;9.65;3.43;4.79;9.52;6.32;;8.4;8.48;;4.52;9.45;6.43;;3.43;;;0 days 00:01:00.143562;0.03487;0.08575;;;;;;;;;0 days 00:03:58.104147;0.01902;0.11777;0;;;;;6736;yes_run;0.0088;0.00063;0.00129;0.0075;0.00795;-0.00007;-0.00056;-0.00103;-0.00012;-0.00014;0.0088;0.00064;0.00162;0.00739;0.00795;-0.00007;-0.00055;-0.00126;-0.00012;-0.00014;154;163;;10187
Suez_MBE_20200212_4;3.2408;4.7593;26.8085;10.6455;17.8723;0.5956;20.5788;54.0147;339.9568;536.1713;7.9586;3.46;2020-02-12_04_SNAC111903_src.csv;SNAC111903;12/02/20;1.48;1.35;True;;;;;Noise:165.5047. Treshold: 300. s: [0.0278];True;;;;;Noise:50.1755. Treshold: 100. s: [0.0346];True;;;;;Noise:0.0077. Treshold: 100. s: 0.2;;6.33;;9.89;4.4;;;;9.89;6.33;4.4;;;9.63;;3.92;;;;4.8;9.76;6.33;;;;;0 days 00:01:20.539448;0.18287;0.36227;;;;;;;;;0 days 00:07:57.545480;0.02683;0.1689;0.0026;;;;;11.25933;yes_run;0.00612;0.00089;0.00119;0.00649;0.00591;-0.00063;0.00055;-0.00022;0.00096;0.00026;0.00613;0.00088;0.00123;0.0067;0.00591;-0.00063;0.00066;-0.00039;0.00077;0.00026;155;157;;9812
Suez_MBE_20200219_2;0;4.7493;19.7619;9032;18.3441;0.4923;20.6403;0;339.2377;395.2387;7.9967;3.5309;2020-02-19_02_SNAC111903_src.csv;SNAC111903;12/02/20;1.41;1.37;True;;;;;Noise:67.4325. Treshold: 300. s: [0.0281];True;;;;;Noise:40.0. Treshold: 100. s: [0.0099];False;;too many pics in important section(s) of the signal;Shift in pH 7.9-8.1. Derivative value 0.504 higher than 0.05;;Noise:0.0087. Treshold: 100. s: 0.2;;6.16;;9.72;4.38;;;;9.72;6.16;4.38;;5.14;9.37;6.15;9.18;;;;4.8;9.72;6.16;4.38;;;;0 days 00:01:59.509996;0;0.28031;;;;;;;;;0 days 00:13:14.624632;0;0.17461;0.00698;0.02806;;;;1;yes_run;0.00435;0.00038;0.00061;0.00416;0.00393;-0.00101;0.00009;-0.00016;0.00011;-0.00075;0.00435;0.00038;0.00071;0.00449;0.00393;-0.00101;0.00011;-0.00022;-0.00007;-0.00075;151;109;;6812
Limovents_20200324_1;0.3883;2.6667;18.2354;5.9028;17.1213;0.3447;18622;6.4719;190.4801;364.7083;7.7392;2.0582;2020-03-24_01_SNAC121907_src.csv;SNAC121907;16/03/20;1.68;1.3;True;;;;;Noise:10.0. Treshold: 300. s: [0.0099];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];False;;too many pics in important section(s) of the signal;Shift in pH 2.9-3.0. Derivative value 0.057 higher than 0.05;;Noise:0.0088. Treshold: 100. s: 0.2;;;;9.79;5.95;;;;9.79;5.95;4.18;;5.18;9.34;5.54;;9.43;;;4.8;9.79;5.95;4.18;;;;0 days 00:02:39.312688;0.00758;0.21708;;;;;;;;;0 days 00:07:30.943040;0.00294;0.08681;0.01908;;;;;12.71844;yes_run;0.0027;0.0014;0.00132;0.00301;0.00291;0.00019;0.0003;0.00032;-0.0001;0.00046;0.0027;0.00145;0.00132;0.00295;0.00291;0.00019;0.00033;0.00032;-0.00047;0.00046;291;85;;5312
Methavert_20200330_1;0.5721;3.1515;16.6963;5331;19.2204;0.2773;20.5758;9.5354;225.1095;333926;7.7338;2.0495;2020-03-30_01_SNAC111912_src.csv;SNAC111912;30/03/20;2.83;1.18;True;;;;;Noise:15.0. Treshold: 300. s: [0.0099];True;;;;;Noise:25.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0142. Treshold: 100. s: 0.2;;6.55;;9.6;;;;;9.6;6.55;;;;9.4;;3.04;;;;4.8;9.5;6.55;;;;;0 days 00:01:33.550441;0.03285;0.11799;;;;;;;;;0 days 00:03:46.616905;0.00284;0.0672;0.00455;;;;;1.66183;yes_run;0.00306;0.00054;0.0005;0.00363;0.00281;0.00068;0.00032;0.00028;0.00038;0.00053;0.00306;0.00047;0.00048;0.00361;0.00281;0.00068;0.00027;0.00028;0.00069;0.00053;156;124;;7.75
Equimeth_20200330_3;;;10234;3.0787;11.9705;0.2571;12.7532;;;204.6801;7.7968;2.1131;2020-03-30_03_SNAC121906_src.csv;SNAC121906;16/03/20;2.26;1.15;True;;;;;Noise:17.2963. Treshold: 300. s: [0.0169];False;;too many pics in important section(s) of the signal;;;Noise:201.9081. Treshold: 100. s: [0.0259];True;;;;;Noise:0.0045. Treshold: 100. s: 0.05;;6.34;;7.9;2.5;;;;9.64;6.34;7.9;2.5;;9.92;;5.59;;;;;;;;;;;0 days 00:01:37.874515;0.00348;0.09056;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;182;;;
Limovents_20200421_1;0.2453;2.7058;19.2204;5.9011;18.4145;0.3204;19.9148;4.0894;193.2778;384.4099;8.0018;0.2262;2020-04-21_01_SNAC121907_src.csv;SNAC121907;21/04/20;1.56;1.33;True;;;;;Noise:22.4233. Treshold: 300. s: [0.0097];True;;;;;Noise:25.0. Treshold: 100. s: [0.01];True;;;;;Noise:0.0042. Treshold: 100. s: 0.05;;;;9.56;5.96;;;;9.56;5.96;;;;9.7;5.33;10.7;;;;4.79;9.63;5.64;;;;;0 days 00:02:18.418644;0;0.24641;;;;;;;;;0 days 00:06:50.700763;0.00196;0.09305;0.01449;;;;;1.22109;yes_run;0.00471;0.0071;0.00584;0.00336;0.00437;0.00241;0.00384;0.00289;0.00078;0.00195;0.00471;7;0.00585;0.00365;0.00437;0.00241;0.00357;0.00289;0.00124;0.00195;152;-101;;-6312
Limovents_20200421_2;0.3809;1.9537;13.8126;5.8067;14.1715;0.4097;15.6478;6.3493;139.5501;276.2531;7713;1.4842;2020-04-21_02_SNAC121907_src.csv;SNAC121907;21/04/20;1.57;1.26;True;;;;;Noise:26.607. Treshold: 300. s: [0.0423];True;;;;;Noise:40.2391. Treshold: 100. s: [0.0417];True;;;;;Noise:0.0042. Treshold: 100. s: 0.05;;;;9.54;6.01;;;;9.54;6.01;;;4.53;9.55;5.28;3.48;;10.42;;4.53;9.54;5.65;;;;;0 days 00:01:41.459947;0;0.17595;;;;;;;;;0 days 00:05:40.373677;0.00319;0.07013;0.01397;;;;;3.0819;yes_run;0.00349;0.00701;0.00569;0.00119;0.00319;0.00147;0.00275;0.00215;0.00073;0.00119;0.00349;0.00693;0.00568;0.00121;0.00319;0.00147;0.0025;0.00216;0.00075;0.00119;152;-78;;-4875
Limovents_20200505_1;0.7557;2.8244;18872;7.0381;18.0912;389;19.8805;12.5956;201.7452;377.4411;7.7459;1.2099;2020-05-05_01_SNAC121907_src.csv;SNAC121907;21/04/20;1.78;1.29;True;;;;;Noise:15.9366. Treshold: 300. s: [0.0164];True;;;;;Noise:23.192. Treshold: 100. s: [0.0108];False;;;Shift in pH 3.3-4.0. Derivative value 0.473 higher than 0.05;;Noise:0.005. Treshold: 100. s: 0.05;;;;9.47;5.98;;;;9.47;5.98;;;;;;3.64;;9.85;;4.79;9.47;5.98;;;;;0 days 00:01:51.656307;0;0.21204;;;;;;;;;0 days 00:07:19.231767;0.00548;0.08785;0.01277;;;;;7.01309;yes_run;0.00159;0.00059;0.00075;0.00131;0.00146;-0.00009;-0.00007;-0.00019;-0.00065;-0.00008;0.00159;0.00061;0.00064;0.00141;0.00146;-0.00009;0.00002;-0.00013;-0.00035;-0.00008;151;-138;;-8625
Methavert_20200511_1;0.2179;2.0079;11.2663;3.8279;13.0543;0.2932;14.0275;3.6323;143.4245;225.3274;7798;2.0498;2020-05-11_01_SNAC111912_src.csv;SNAC111912;30/04/20;1.91;1.18;True;;;;;Noise:13.8722. Treshold: 300. s: [0.0149];True;;;;;Noise:31.5288. Treshold: 100. s: [0.0175];True;;;;;Noise:0.0058. Treshold: 100. s: 0.05;;;;9.76;6.72;;;;9.76;;6.72;;;9.51;;5.74;;;;4.8;9.64;6.11;;;;;0 days 00:01:43.872749;0.01404;0.11797;;;;;;;;;0 days 00:03:31.344545;0.0016;0.06347;0.00378;;;;;1;yes_run;0.00357;0.00151;0.00218;0.00389;0.00324;0.0016;0.00018;1;0.00125;0.00133;0.00357;0.00228;0.00216;0.00408;0.00324;0.0016;0.00084;0.00105;0.00186;0.00133;0.15;211;;13187
Gatinais_20200512_1;0;2.5176;16.7459;16235;22.2234;0.7305;26.3509;0;179.8313;334.9189;8.0949;0.8995;2020-05-12_01_SNAC121901_src.csv;SNAC121901;12/05/20;1.97;1.41;True;;;;;Noise:83.8343. Treshold: 300. s: [0.0239];True;;;;;Noise:29.0791. Treshold: 100. s: [0.0216];True;;;;;Noise:0.0046. Treshold: 100. s: 0.05;;;;5.78;9.91;;;;9.91;5.78;;;;9.91;5.5;7.61;4.27;;;4.8;9.91;5.64;;;;;0 days 00:02:10.983161;0.04492;0.17;;;;;;;;;0 days 00:05:52.201108;0;0.06438;0.02972;;;;;6.20036;yes_run;0.00463;0.00826;0.00715;0.00183;0.00619;0.00158;0.00371;0.00331;-0.00013;0.00215;0.00463;0.00834;0.00715;0.00187;0.00619;0.00159;0.00397;0.00331;-0.00032;0.00215;418;89;;5562
