"name","VFA_geq","TAN_geq","IC_geq","FOS_geq","TAC_geq","FOS_TAC","total_alcalinity","VFA_mmol","TAN_mmol","IC_mmol","pH_initial","conductivity_initial","0_1","0_2","0_3","101_0","101_1","101_2","101_3","101_4","101_5","102_0","102_1","102_2","102_3","102_4","102_5","103_0","103_1","103_2","103_3","103_4","103_5","201_pKa_acetatic/acetate","201_pKa_H2CO3/HCO3","201_pKa_HCO3/CO32","201_pKa_fb_vfa_1","201_pKa_fb_vfa_2","201_pKa_fb_nh4_1","201_pKa_fb_nh4_2","202_pKa_acetatic/acetate","202_pKa_NH4/NH3","202_pKa_unknown_pH6","202_pKa_fb_vfa_1","202_pKa_fb_vfa_2","203_pKa_acetatic/acetate","203_pKa_NH4/NH3","203_pKa_unknown_pH6","203_pKa_fb_vfa_1","203_pKa_fb_vfa_2","203_pKa_fb_nh4_1","203_pKa_fb_nh4_2","204_pKa_acetatic/acetate","204_pKa_NH4/NH3","204_pKa_unknown_pH6","204_pKa_fb_vfa_1","204_pKa_fb_vfa_2","204_pKa_fb_nh4_1","204_pKa_fb_nh4_2","301_time","301_acetatic/acetate","301_H2CO3/HCO3","301_HCO3/CO32","301_fb_vfa_1","301_fb_vfa_2","301_fb_nh4_1","301_fb_nh4_2","302_time","302_acetatic/acetate","302_NH4/NH3","303_time","303_acetatic/acetate","303_NH4/NH3","303_unknown_pH6","303_fb_vfa_1","303_fb_vfa_2","303_fb_nh4_1","303_fb_nh4_2","303_lambda_unknown_pH6","304_if_fb","401_1","402_1","501_coef","501_R2","502_RMSE","503_error_VFA","503_error_pH6","503_error_VFA_pH6","503_error_TAN","503_error_global","504_distance_pka_VFA","504_distance_pka_TAN"
"ClerVerts_20200630_1",0.348562287350851,3.70309494148839,14.2806670247346,3.85866735407029,15.7594846668954,0.24484730532946,16.7405017908116,5.80937145584751,264.506781534885,285.613340494692,7.8878,2.8309008,"SNAC111910","16/06/20",2.7,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:42.1522. Treshold: 100. s: [0.0941]","True",,,,,"Noise:0.0045. Treshold: 100. s: 0.05",,,,6.02,,,,,9.62,,,,,9.65,,3.75,,5.26,,4.8,9.62,5.97,,,,,"0 days 00:01:36.547730",0.02569,0.10578,,,,,,,,,"0 days 00:05:45.253099",0.00185,0.08424,0.00217,,,,,15,"yes_run",,,,,0.00337,0.0003,0.00112,0.00086,0.00243,0.00241,0.156,0.067
"Gatinais_20200630_1",0.530383992765028,,19.860215572586,19.5572186014826,25.5398656587271,0.765752602727562,30.512039879443,8.83973321275047,,397.204311451719,7.8977,2.2102816,"SNAC121901","16/06/20",1.79,"True",,,,,"Noise:35.292. Treshold: 300. s: [0.0229]","True",,,,,"Noise:26.7848. Treshold: 100. s: [0.0171]","True",,,,,"Noise:0.0041. Treshold: 100. s: 0.05",4.87,6.36,,,,,,,,5.6,9.64,,,,5.54,4.11,,9.63,,4.79,9.21,5.6,9.64,,,,"0 days 00:04:03.997625",0.01929,0.2219,,,,,,,,,"0 days 00:12:05.403102",0.00329,,0.03754,0.07704,,,,14.24971,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00391,0.00149,0.00229,0.002,0.00165,0.00433,0.513,0.403
"Limovents_20200630_1",0.586551887181641,,13.3763158832005,5.50366887679425,14.4687624399374,0.380382835065614,15.8680002899698,9.77586478636068,,267.52631766401,7.8122,1.75572496,"SNAC121907","16/06/20",1.75,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:43.228. Treshold: 100. s: [0.0553]","True",,,,,"Noise:0.0095. Treshold: 100. s: 0.2",,6.19,,,,,,,,6,9.63,,,9.34,,5.51,,,,4.79,9.19,6,9.63,,,,"0 days 00:02:18.366884",0,0.15287,,,,,,,,,"0 days 00:08:41.213681",0.00448,,0.0128,0.07135,,,,3.1757,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00558,0.00063,0.00203,0.00164,0.00191,0.00184,0.15,0.394
"Medoc_20200630_1",,,6.03181843049566,2.15321130532206,7.29785823309251,0.295047017432897,7.84528483614049,,,120.636368609913,7.8722,1.0199196,"SNAC121904","18/06/20",2.1,"True",,,,,"Noise:60.0306. Treshold: 300. s: [0.0425]","False",,"too many pics in important section(s) of the signal",,,"Noise:109.5456. Treshold: 100. s: [0.0227]","False",,"Probable lost of calibration. Too few pics in the signal",,"Calibration lost: very low variations. Please control it","Noise:0.0027. Treshold: 100. s: 0.005",,6.16,,5.53,,,,,9.11,5.51,5.29,7.11,,,,4.38,,10.06,,,,,,,,,"0 days 00:01:02.047042",0,0.05744,,,,,,,,,,,,,,,,,,"no_run",,,,,0.00063,,,,,,0.159,
"MethabelAir_20200713_1",3.22194791588399,1.87395092385321,11.2426022340166,8.86734053291832,13.8167279550995,0.641782957711457,16.0711365651635,53.6991319313998,133.853637418087,224.852044680332,7.7125,1.51618688,"SNAC121903","13/07/20",1.93,"True",,,,,"Noise:54.3583. Treshold: 300. s: [0.0853]","True",,,,,"Noise:35.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0055. Treshold: 100. s: 0.05",,6.37,,,,,,4.63,9.53,,6.54,,,,,4.36,,9.78,,4.63,9.53,5.8,6.54,,,,"0 days 00:02:31.241661",0.02638,0.1165,,,,,,,,,"0 days 00:08:17.892040",0.02259,0.05631,0,0.00758,,,,12.11974,"yes_run",,,,,0.00216,0.00111,0.00177,0.00143,0.00157,0.00286,0.153,-0.094
"Limovents_20200713_2",,,14.0159709445461,5.33659651201874,14.3298171780753,0.372412044459559,15.6865790031648,,,280.319418890922,7.6763,1.96198688,"SNAC121907","06/07/20",1.5,"True",,,,,"Noise:10.0. Treshold: 300. s: [0.0099]","False",,"too many pics in important section(s) of the signal",,,"Noise:75.2788. Treshold: 100. s: [0.0278]","True",,,,,"Noise:0.0046. Treshold: 100. s: 0.05",,6.18,,,,,,,8.9,5.96,9.39,6.74,4.78,,,9.21,6.21,,,,,,,,,,"0 days 00:02:31.054622",0,0.18687,,,,,,,,,,,,,,,,,,"no_run",,,,,0.00399,,,,,,0.151,
"Ensaia_20200728_1",0.252618514057666,0.568575225908728,19.3294368538611,3.87709796999777,12.8862912359074,0.300869963205108,13.8719941096357,4.21030856762776,40.6125161363377,386.588737077222,7.8889,0.97971336,"SNAC111901","16/07/20",1.41,"True",,,,,"Noise:193.7696. Treshold: 300. s: [0.0143]","True",,,,,"Noise:30.3636. Treshold: 100. s: [0.0101]","True",,,,,"Noise:0.0048. Treshold: 100. s: 0.05",,6.3,,6.7,6.09,,,,8.75,5.31,3.41,,,9.04,,5.98,,,,4.79,8.75,5.31,3.41,,,,"0 days 00:02:29.650053",0.0699,0.27417,,,,,,,,,"0 days 00:06:09.831361",0.00237,0.02289,0.00272,,,,,1,"yes_run",,,,,0.00345,0.00045,0.00052,0.00049,0.00192,0.00162,0.156,-0.186
"Methavert_20200728_1",0.024139961158321,,11.8553994451037,3.47697892895594,12.643886805355,0.274992886481977,13.5278644991573,0.402332685972023,,237.107988902074,7.7522,2.07992064,"SNAC111912","27/07/20",1.83,"True",,,,,"Noise:19.6151. Treshold: 300. s: [0.0293]","True",,,,,"Noise:25.3621. Treshold: 100. s: [0.0089]","False",,,"Shift in pH 9.6-9.69. Derivative value 0.109 higher than 0.1",,"Noise:0.0149. Treshold: 100. s: 0.2",,6.13,,,,,,,,,9.8,6.58,,8.91,,9.62,,10.31,,4.8,9.26,5.92,9.8,6.58,,,"0 days 00:02:23.721028",0,0.12956,,,,,,,,,"0 days 00:06:35.367085",0.00018,,0.0031,0.05906,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00767,0.00015,0.00201,0.00154,0.00106,0.00111,0.154,0.569
"ClerVerts_20200728_2",0.031233712299417,3.61067441601877,16.1425200754773,2.99758666755328,15.2123786065913,0.197049175876708,15.9744769119014,0.520561871656946,257.905315429912,322.850401509546,7.8338,2.75246656,"SNAC111910","28/07/20",2.14,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:30.0. Treshold: 100. s: [0.01]","True",,,,,"Noise:0.0054. Treshold: 100. s: 0.05",,6.15,,,,,,,9.64,6.16,,,,9.46,5.96,4.23,6.28,,,4.8,9.64,6.16,,,,,"0 days 00:02:05.260166",0,0.15086,,,,,,,,,"0 days 00:08:19.590442",0.0002,0.1009,0.00447,,,,,15,"yes_run",,,,,0.00495,0.0003,0.00087,0.00071,0.00348,0.00303,0.154,0.019
"Medoc_20200728_2",1.06851299392193,,7.45500813593332,5.7862804457883,10.0098262409427,0.57806002886653,11.4809144898719,17.8085498986988,,149.100162718666,7.3977,1.351072,"SNAC121904","20/07/20",2,"True",,,,,"Noise:27.6146. Treshold: 300. s: [0.0591]","True",,,,,"Noise:53.6625. Treshold: 100. s: [0.0142]","False",,,,"Calibration lost: strictly positive for pH>8. Please control it","Noise:0.004. Treshold: 100. s: 0.05",,6.51,,,,,,,,5.56,10.33,6.63,,,,,10.28,,,4.79,9.18,5.56,10.33,6.63,,,"0 days 00:02:52.518773",0.06724,0.07455,,,,,,,,,"0 days 00:13:16.343465",0.00693,,0.01187,0.03988,0.01298,,,9.39274,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00476,0.00135,0.00136,0.00135,0.00496,0.0043,1.074,1.092
"Limovents_20200804_4",0.594725998707553,,19.8379125357717,5.36076838940902,19.8837476471009,0.269605533350784,21.2466548647472,9.91209997845922,,396.758250715434,8.0192,1.94792224,"SNAC121907","04/08/20",1.56,"True",,,,,"Noise:25.4024. Treshold: 300. s: [0.0447]","True",,,,,"Noise:26.8478. Treshold: 100. s: [0.0148]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.0044. Treshold: 100. s: 0.05",,6.41,,,,,,,,5.97,9.65,,,9.13,,,,,9.48,4.79,9.07,5.97,9.65,,,,"0 days 00:03:50.915096",0,0.25433,,,,,,,,,"0 days 00:11:12.811295",0.0047,,0.01788,0.09317,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00409,0.00154,0.00188,0.00176,0.00285,0.00246,0.153,0.419
"StepNantes_20200811_1",0.149374940894045,1.55860776463053,5.28332172283507,4.09005787614392,7.48492760702774,0.546439203006277,8.52477282977619,2.48958234823409,111.329126045038,105.666434456701,7.6015,0.91287112,"SNAC111902","10/08/20",1.32,"True",,,,,"Noise:189.6757. Treshold: 300. s: [0.001]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.01]","True",,,,,"Noise:0.0016. Treshold: 100. s: 0.005",,6.11,,3.91,,,,,9.59,5.53,,,4.51,9.31,,6.72,,5.23,,4.79,9.59,5.53,,,,,"0 days 00:02:27.194513",0,0.08005,,,,,,,,,"0 days 00:09:48.831215",0.00155,0.06949,0.01905,,,,,9.56315,"yes_run",,,,,0.00198,0.00032,0.00058,0.00047,0.00195,0.00166,0.153,-0.024
"MethabelAir_20200811_1",2.93097237843625,2.24698166475041,17.5336795105376,9.32551093279844,17.3417223849248,0.537749983871564,19.7126149949583,48.8495396406042,160.498690339315,350.673590210751,7.7056,1.98970112,"SNAC121903","29/07/20",1.42,"True",,,,,"Noise:75.0. Treshold: 300. s: [0.01]","True",,,,,"Noise:67.5791. Treshold: 100. s: [0.0587]","True",,,,,"Noise:0.0085. Treshold: 100. s: 0.2",4.71,6.4,,,5.31,,,4.44,9.32,6.33,,,5.17,9.45,,,,,,4.44,9.32,6.33,,,,,"0 days 00:04:55.255559",0.07019,0.24695,,,,,,,,,"0 days 00:10:38.045976",0.02526,0.08301,0.0134,,,,,15,"yes_run",,,,,0.00523,0.00186,0.00304,0.0025,0.0055,0.00541,0.221,-0.131
"Limovents_20200818_2",0.466055201320002,,19.5691763642838,5.54328786983235,19.8021909253316,0.279933058454718,21.2115014007127,7.76758668866671,,391.383527285676,7.9389,1.78374224,"SNAC121907","04/08/20",1.53,"True",,,,,"Noise:24.6796. Treshold: 300. s: [0.043]","True",,,,,"Noise:25.0. Treshold: 100. s: [0.0099]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.0048. Treshold: 100. s: 0.05",,6.48,,,,,,,,5.78,9.45,,,9.01,5.81,9.21,,9.65,,4.79,8.98,5.78,9.45,,,,"0 days 00:04:28.344902",0.00292,0.2558,,,,,,,,,"0 days 00:12:28.623819",0.00374,,0.01821,0.0891,,,,3.02195,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00419,0.00069,0.00139,0.00116,0.00171,0.00169,0.153,0.217
"Limovents_20200901_1",0.503496262166658,,13.3965180673457,5.86160591146097,14.3788077413211,0.407655907006544,15.8690465323705,8.3916043694443,,267.930361346914,7.753,1.09777616,"SNAC121907","26/08/20",1.71,"True",,,,,"Noise:23.7225. Treshold: 300. s: [0.0145]","True",,,,,"Noise:37.5574. Treshold: 100. s: [0.0192]","True",,,,,"Noise:0.0077. Treshold: 100. s: 0.2",,6.1,,,,,,,,5.89,9.64,,,9.13,,2.93,,2.52,,4.79,9.07,5.89,9.64,,,,"0 days 00:02:15.817709",0,0.15668,,,,,,,,,"0 days 00:07:38.072007",0.00392,,0.01432,0.05753,,,,2.96086,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00626,0.00083,0.00132,0.00115,0.00273,0.00221,0.154,0.402
"StepNantes_20200902_1",0.997702881086669,,5.47753379062574,7.32159901023717,8.60164856033595,0.851185555754815,10.4630720375149,16.6283813514445,,109.550675812515,7.7239,0.00510054,"SNAC111902","31/08/20",1.42,"True",,,,,"Noise:72.2609. Treshold: 300. s: [0.0506]","True",,,,,"Noise:25.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0013. Treshold: 100. s: 0.005",,6.1,,4.22,,,,,,5.51,9.73,,,9.3,,6.45,,5.24,,4.8,9.31,5.51,9.73,,,,"0 days 00:01:51.099456",0.02177,0.07714,,,,,,,,,"0 days 00:11:06.193826",0.0094,,0.01814,0.06441,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00161,0.00121,0.00135,0.00128,0.00251,0.00218,0.16,0.491
"MethabelAir_20200907_1",4.74472676490015,2.11572214305726,11.5803907878396,11.9530499343798,15.7280347673612,0.759983692252812,18.7669457676272,79.0787794150025,151.123010218376,231.607815756792,7.7315,1.7968136,"SNAC121903","07/09/20",1.52,"True",,,,,"Noise:27.2003. Treshold: 300. s: [0.049]","True",,,,,"Noise:58.908. Treshold: 100. s: [0.0265]","True",,,,,"Noise:0.0045. Treshold: 100. s: 0.05",4.51,6.54,,2.63,,,,4.49,9.48,6.37,,,,,,4.28,,9.64,,4.49,9.48,6.37,,,,,"0 days 00:03:53.115260",0.05664,0.15237,,,,,,,,,"0 days 00:10:40.627900",0.03874,0.07404,0.01021,,,,,10.2973,"yes_run",,,,,0.00333,0.0015,0.00158,0.00153,0.00372,0.00414,0.153,-0.081
"StepNantes_20200908_1",2.92878203175527,,4.95588867735315,8.96125442321743,8.55537201733324,1.0474418184343,10.8336570401851,48.8130338625879,,99.1177735470631,7.6754,0.00065252,"SNAC111902","07/09/20",1.35,"True",,,,,"Noise:35.0. Treshold: 300. s: [0.01]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.0099]","False",,"too many pics in important section(s) of the signal","Shift in pH 5.1-5.2. Derivative value 0.106 higher than 0.05",,"Noise:0.0101. Treshold: 100. s: 0.2",,6.12,,4.25,,,,,,5.58,9.74,,4.84,9.27,5.9,,,,5.13,4.8,9.29,5.58,9.74,,,,"0 days 00:02:10.036313",0.03121,0.07342,,,,,,,,,"0 days 00:09:07.325695",0.02852,,0.01434,0.06257,,,,6.05331,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.02368,0.00166,0.00214,0.00187,0.00081,0.0018,0.15,0.507
"Ensaia_20200909_2",0.287539162338464,,7.71319434984785,7.72539271434036,12.6007156311444,0.613091584675237,14.5647985246208,4.79231937230773,,154.263886996957,8.0503,0.14210057,"SNAC111901","09/09/20",1.58,"True",,,,,"Noise:23.8511. Treshold: 300. s: [0.031]","True",,,,,"Noise:36.1692. Treshold: 100. s: [0.0164]","False",,,,"Calibration lost: very low variations. Please control it","Noise:0.0012. Treshold: 100. s: 0.005",,6.12,,,,,,,,5.63,10.24,4.09,,,,3.33,9.56,,,4.8,9.35,5.63,10.24,4.09,,,"0 days 00:02:47.098067",0.01169,0.09763,,,,,,,,,"0 days 00:11:17.901863",0.00243,,0.0028,0.02691,0.01871,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00059,0.00055,0.00029,0.00046,0.0044,0.00306,1.148,1.004
"Medoc_20200909_6",0.584538995093355,1.64802574248367,5.24152589525043,3.35169892975037,6.96426060311986,0.481271325235714,7.81638744966657,9.74231658488925,117.716124463119,104.830517905009,7.9339,1.44224624,"SNAC121904","07/09/20",1.99,"True",,,,,"Noise:47.1418. Treshold: 300. s: [0.0427]","True",,,,,"Noise:47.5731. Treshold: 100. s: [0.0137]","False",,,,"Calibration lost: very low variations. Please control it","Noise:0.0049. Treshold: 100. s: 0.05",,6.41,,,,,,4.92,9.64,6.38,,,5.07,9.18,,,,,,4.92,9.64,6.38,,,,,"0 days 00:01:20.620140",0.01192,0.05267,,,,,,,,,"0 days 00:04:40.496214",0.00441,0.05334,0.00164,,,,,15,"yes_run",,,,,0.00242,7E-05,0.00016,0.00012,0.00113,0.00099,0.156,0.114
"Menez_Avel_20200915_1",1.47631210386002,2.33828055373561,11.8246222311701,5.99284730694305,13.9092710039413,0.430852724434294,15.4328762514692,24.6052017310003,167.020039552544,236.492444623401,7.7842,2.12915728,"SNAC121905","10/09/20",2.07,"True",,,,,"Noise:22.0802. Treshold: 300. s: [0.0323]","True",,,,,"Noise:53.3927. Treshold: 100. s: [0.0352]","True",,,,,"Noise:0.0047. Treshold: 100. s: 0.05",,6.31,,,,,,4.52,9.58,6.3,,,4.8,9.64,,,,,,4.52,9.58,6.3,,,,,"0 days 00:02:22.030496",0.00059,0.11424,,,,,,,,,"0 days 00:07:43.626151",0.0099,0.06721,0.00372,,,,,15,"yes_run",,,,,0.00252,0.00038,0.00033,0.00036,0.00358,0.00303,0.151,0.022
